age (bin),Division,Name,Region,sex,State,age,Census 2000 Gender,CENSUS2000,ESTBASE2000,Number of Records,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006
40,South Atlantic,Florida,South,Male,12,41,-121034,121034,121038,1,122861,131957,130773,131932,134086,137092,137986
40,South Atlantic,Florida,South,Male,12,42,-122983,122983,122989,1,122411,123934,133124,131862,133746,135955,138161
40,South Atlantic,Florida,South,Male,12,43,-117751,117751,117757,1,119879,123215,124828,133863,133368,135241,136683
40,South Atlantic,Florida,South,Male,12,44,-114202,114202,114204,1,114427,121467,124846,126348,136039,135595,136657
45,South Atlantic,Florida,South,Male,12,45,-116278,116278,116281,1,116363,115794,122891,126208,128357,138033,136958
45,South Atlantic,Florida,South,Male,12,46,-107424,107424,107427,1,109592,116730,116290,123294,127106,129308,138339
45,South Atlantic,Florida,South,Male,12,47,-105697,105697,105698,1,106078,110800,118014,117554,124994,128890,130442
45,South Atlantic,Florida,South,Male,12,48,-101743,101743,101747,1,102272,106550,111269,118478,118467,125948,129233
45,South Atlantic,Florida,South,Male,12,49,-98921,98921,98924,1,100261,103183,107536,112159,119789,119881,126814
50,South Atlantic,Florida,South,Male,12,50,-101335,101335,101341,1,101290,100984,104022,108213,113282,120911,120464
50,South Atlantic,Florida,South,Male,12,51,-96129,96129,96131,1,97670,102419,102164,105033,109574,114674,121707
50,South Atlantic,Florida,South,Male,12,52,-99885,99885,99893,1,98237,98803,103677,103323,106496,111072,115494
50,South Atlantic,Florida,South,Male,12,53,-98700,98700,98701,1,103727,99153,99749,104441,104363,107573,111464
50,South Atlantic,Florida,South,Male,12,54,-79092,79092,79094,1,80369,104788,100810,101093,106008,105947,108301
55,South Atlantic,Florida,South,Male,12,55,-81181,81181,81185,1,81520,81174,105580,102019,102370,107230,106350
55,South Atlantic,Florida,South,Male,12,56,-80555,80555,80558,1,80123,82866,82564,106633,104075,104096,108077
55,South Atlantic,Florida,South,Male,12,57,-82653,82653,82658,1,84240,81243,84050,83476,107732,105697,104524
55,South Atlantic,Florida,South,Male,12,58,-73077,73077,73078,1,74297,85377,82661,85206,84883,108975,106769
55,South Atlantic,Florida,South,Male,12,59,-70676,70676,70678,1,71435,75479,86727,84054,86834,86422,109603
60,South Atlantic,Florida,South,Male,12,60,-71184,71184,71188,1,71778,72476,76617,87795,85759,88279,86938
60,South Atlantic,Florida,South,Male,12,61,-68775,68775,68778,1,69226,72967,73775,77749,89315,87461,88897
60,South Atlantic,Florida,South,Male,12,62,-69305,69305,69306,1,69890,70518,74284,74897,79224,90814,88340
60,South Atlantic,Florida,South,Male,12,63,-67670,67670,67670,1,68271,70862,71623,75220,76074,80220,91126
60,South Atlantic,Florida,South,Male,12,64,-67628,67628,67631,1,67608,68856,71484,72165,75950,76739,80198
65,South Atlantic,Florida,South,Male,12,65,-69248,69248,69250,1,69413,67517,68877,71353,72445,76089,76804
65,South Atlantic,Florida,South,Male,12,66,-64708,64708,64711,1,65296,68665,66910,68239,70961,71960,75592
65,South Atlantic,Florida,South,Male,12,67,-67726,67726,67727,1,67247,64582,67906,66257,67824,70438,71568
65,South Atlantic,Florida,South,Male,12,68,-68108,68108,68110,1,68036,66145,63586,66922,65523,67077,69721
65,South Atlantic,Florida,South,Male,12,69,-69654,69654,69656,1,68759,66724,64923,62463,65994,64617,66245
70,South Atlantic,Florida,South,Male,12,70,-69664,69664,69667,1,69900,67362,65365,63666,61467,64943,63634
70,South Atlantic,Florida,South,Male,12,71,-67099,67099,67102,1,67070,68321,65927,63930,62516,60318,63820
70,South Atlantic,Florida,South,Male,12,72,-66738,66738,66740,1,66362,65327,66668,64363,62571,61116,58863
70,South Atlantic,Florida,South,Male,12,73,-64368,64368,64368,1,64754,64358,63510,64803,62850,61025,59571
70,South Atlantic,Florida,South,Male,12,74,-61244,61244,61245,1,61110,62556,62229,61390,62910,60974,59181
75,South Atlantic,Florida,South,Male,12,75,-60136,60136,60136,1,60065,58657,60041,59908,59315,60851,58943
75,South Atlantic,Florida,South,Male,12,76,-56681,56681,56681,1,56915,57924,56574,57882,58121,57490,59055
75,South Atlantic,Florida,South,Male,12,77,-52825,52825,52827,1,53390,54294,55386,54214,55618,55852,55225
75,South Atlantic,Florida,South,Male,12,78,-51593,51593,51596,1,51021,50626,51539,52623,51740,53088,53280
75,South Atlantic,Florida,South,Male,12,79,-46892,46892,46892,1,47543,48429,48180,49073,50325,49427,50793
80,South Atlantic,Florida,South,Male,12,80,-41974,41974,41974,1,42819,44770,45558,45459,46371,47659,46780
80,South Atlantic,Florida,South,Male,12,81,-37203,37203,37203,1,37005,40029,41810,42724,42790,43650,44896
80,South Atlantic,Florida,South,Male,12,82,-33494,33494,33496,1,34270,34339,37317,39141,40098,40224,41041
80,South Atlantic,Florida,South,Male,12,83,-29548,29548,29548,1,29771,31719,31844,34665,36590,37496,37688
80,South Atlantic,Florida,South,Male,12,84,-25584,25584,25585,1,25696,27012,28951,29010,31754,33592,34511
85,South Atlantic,Florida,South,Male,12,85,-112160,112160,112163,1,113906,121385,129502,138789,147662,159132,171993
0,South Atlantic,Georgia,South,Male,13,0,-62061,62061,62065,1,63210,68101,67689,68207,70072,70835,72410
0,South Atlantic,Georgia,South,Male,13,1,-60889,60889,60894,1,60705,63893,68567,68151,68752,70752,71825
0,South Atlantic,Georgia,South,Male,13,2,-59996,59996,60002,1,60343,61598,64599,69303,68919,69626,71965
0,South Atlantic,Georgia,South,Male,13,3,-60175,60175,60176,1,60263,61189,62258,65291,70044,69737,70771
0,South Atlantic,Georgia,South,Male,13,4,-60979,60979,60984,1,60692,61236,61959,63043,66125,70978,70984
5,South Atlantic,Georgia,South,Male,13,5,-60826,60826,60830,1,61020,61744,62053,62759,63904,67090,72237
5,South Atlantic,Georgia,South,Male,13,6,-61851,61851,61857,1,61753,62104,62637,62904,63643,64905,68387
5,South Atlantic,Georgia,South,Male,13,7,-63343,63343,63352,1,63161,62916,63058,63599,63856,64692,66272
5,South Atlantic,Georgia,South,Male,13,8,-62929,62929,62935,1,62890,64284,63802,63931,64534,64853,65967
5,South Atlantic,Georgia,South,Male,13,9,-64996,64996,65006,1,64699,64010,65225,64703,64870,65584,66154
10,South Atlantic,Georgia,South,Male,13,10,-66092,66092,66098,1,66845,65844,64965,66199,65694,65965,66991
10,South Atlantic,Georgia,South,Male,13,11,-62650,62650,62657,1,63464,67928,66747,65871,67174,66748,67326
10,South Atlantic,Georgia,South,Male,13,12,-61829,61829,61833,1,62117,64536,68858,67688,66860,68314,68166
10,South Atlantic,Georgia,South,Male,13,13,-60064,60064,60065,1,60540,63174,65418,69759,68634,67955,69723
10,South Atlantic,Georgia,South,Male,13,14,-61010,61010,61014,1,61018,61709,64166,66375,70762,69825,69455
15,South Atlantic,Georgia,South,Male,13,15,-60697,60697,60700,1,61521,62190,62665,65115,67384,71982,71355
15,South Atlantic,Georgia,South,Male,13,16,-59939,59939,59940,1,60123,62675,63144,63629,66108,68520,73398
15,South Atlantic,Georgia,South,Male,13,17,-61263,61263,61268,1,61483,61286,63605,63889,64522,67142,69921
15,South Atlantic,Georgia,South,Male,13,18,-62554,62554,62559,1,63351,61824,61718,63063,64249,65270,68180
15,South Atlantic,Georgia,South,Male,13,19,-65361,65361,65362,1,65237,64198,63616,61480,64868,66471,67552
20,South Atlantic,Georgia,South,Male,13,20,-65049,65049,65052,1,66103,66263,65424,62332,63517,66267,67518
20,South Atlantic,Georgia,South,Male,13,21,-61420,61420,61421,1,62556,67461,67486,64106,64273,64835,67641
20,South Atlantic,Georgia,South,Male,13,22,-60402,60402,60405,1,60876,65366,70194,67773,67318,66545,67946
20,South Atlantic,Georgia,South,Male,13,23,-59459,59459,59463,1,60640,62118,66758,69334,69577,67927,68133
20,South Atlantic,Georgia,South,Male,13,24,-60133,60133,60134,1,60170,62525,63836,66848,71709,70869,70158
25,South Atlantic,Georgia,South,Male,13,25,-62437,62437,62440,1,62758,62136,64140,64146,68970,73045,73087
25,South Atlantic,Georgia,South,Male,13,26,-60838,60838,60842,1,61529,63755,62816,63800,65058,69554,74262
25,South Atlantic,Georgia,South,Male,13,27,-64301,64301,64306,1,63793,63174,64963,63360,65117,66145,71312
25,South Atlantic,Georgia,South,Male,13,28,-67151,67151,67152,1,66741,65013,63890,65053,64149,65703,67353
25,South Atlantic,Georgia,South,Male,13,29,-71023,71023,71027,1,70533,67769,65565,63968,65665,64716,66742
30,South Atlantic,Georgia,South,Male,13,30,-70744,70744,70746,1,71033,71796,68597,65971,64855,66357,65945
30,South Atlantic,Georgia,South,Male,13,31,-64601,64601,64607,1,65728,72689,73055,69434,67370,66144,68009
30,South Atlantic,Georgia,South,Male,13,32,-64039,64039,64041,1,64342,66645,73299,73328,70198,68071,67108
30,South Atlantic,Georgia,South,Male,13,33,-64357,64357,64358,1,64423,64847,66850,73236,73653,70521,68682
30,South Atlantic,Georgia,South,Male,13,34,-67056,67056,67057,1,66521,65813,65875,67673,74545,74859,72020
35,South Atlantic,Georgia,South,Male,13,35,-71766,71766,71772,1,70860,67470,66403,66220,68431,75245,75907
35,South Atlantic,Georgia,South,Male,13,36,-70579,70579,70580,1,71251,72096,68411,67076,67212,69442,76602
35,South Atlantic,Georgia,South,Male,13,37,-68641,68641,68643,1,68911,71646,72220,68302,67277,67433,70007
35,South Atlantic,Georgia,South,Male,13,38,-68472,68472,68476,1,68665,70452,72922,73358,69770,68786,69151
35,South Atlantic,Georgia,South,Male,13,39,-68334,68334,68336,1,68443,69094,70666,73018,73717,70149,69443
40,South Atlantic,Georgia,South,Male,13,40,-69219,69219,69221,1,69139,69125,69536,70964,73494,74165,70953
40,South Atlantic,Georgia,South,Male,13,41,-64914,64914,64919,1,65928,69812,69624,69928,71550,74042,75129
40,South Atlantic,Georgia,South,Male,13,42,-65049,65049,65050,1,64887,66558,70252,69992,70432,72056,74929
40,South Atlantic,Georgia,South,Male,13,43,-62671,62671,62673,1,63899,65281,66776,70360,70296,70707,72675
40,South Atlantic,Georgia,South,Male,13,44,-60858,60858,60861,1,61074,64493,65704,67136,70854,70838,71472
45,South Atlantic,Georgia,South,Male,13,45,-60906,60906,60908,1,60988,61781,65025,66193,67715,71444,71729
45,South Atlantic,Georgia,South,Male,13,46,-57149,57149,57151,1,58438,61211,61866,65087,66291,67860,71760
45,South Atlantic,Georgia,South,Male,13,47,-55529,55529,55530,1,55730,58976,61537,62274,65516,66762,68505
45,South Atlantic,Georgia,South,Male,13,48,-53325,53325,53327,1,53616,55757,58858,61444,62229,65532,66945
45,South Atlantic,Georgia,South,Male,13,49,-51640,51640,51642,1,52377,54048,56040,59158,61786,62633,66070
50,South Atlantic,Georgia,South,Male,13,50,-53410,53410,53411,1,53414,52458,53960,55952,59162,61806,62825
50,South Atlantic,Georgia,South,Male,13,51,-50935,50935,50936,1,51759,53610,52520,54019,56134,59363,62185
50,South Atlantic,Georgia,South,Male,13,52,-52508,52508,52509,1,51686,51847,53678,52560,54140,56222,59674
50,South Atlantic,Georgia,South,Male,13,53,-50503,50503,50503,1,53212,51567,51672,53477,52480,54002,56229
50,South Atlantic,Georgia,South,Male,13,54,-39045,39045,39045,1,39707,53285,51583,51676,53456,52432,54137
55,South Atlantic,Georgia,South,Male,13,55,-39313,39313,39316,1,39437,39501,53088,51336,51443,53259,52369
55,South Atlantic,Georgia,South,Male,13,56,-38831,38831,38831,1,38608,39490,39527,53087,51354,51479,53405
55,South Atlantic,Georgia,South,Male,13,57,-38733,38733,38733,1,39486,38313,39112,39161,52782,51072,51288
55,South Atlantic,Georgia,South,Male,13,58,-33823,33823,33823,1,34479,39429,38147,39034,39053,52756,51168
55,South Atlantic,Georgia,South,Male,13,59,-31621,31621,31621,1,31977,34130,39002,37714,38609,38735,52548
60,South Atlantic,Georgia,South,Male,13,60,-30587,30587,30587,1,30927,31751,33757,38693,37361,38351,38571
60,South Atlantic,Georgia,South,Male,13,61,-27954,27954,27954,1,28194,30804,31543,33605,38475,37266,38356
60,South Atlantic,Georgia,South,Male,13,62,-26963,26963,26964,1,27245,27816,30264,31103,33115,38073,36942
60,South Atlantic,Georgia,South,Male,13,63,-25347,25347,25348,1,25693,26857,27419,29880,30686,32775,37850
60,South Atlantic,Georgia,South,Male,13,64,-24743,24743,24743,1,24834,25363,26448,27149,29511,30394,32591
65,South Atlantic,Georgia,South,Male,13,65,-24123,24123,24123,1,24248,24301,24766,25888,26494,29082,29895
65,South Atlantic,Georgia,South,Male,13,66,-21606,21606,21606,1,21922,23823,23796,24372,25400,26223,28739
65,South Atlantic,Georgia,South,Male,13,67,-21705,21705,21704,1,21573,21421,23281,23289,23774,25011,25768
65,South Atlantic,Georgia,South,Male,13,68,-20677,20677,20678,1,20774,21057,20896,22700,22642,23312,24483
65,South Atlantic,Georgia,South,Male,13,69,-19715,19715,19715,1,19499,20235,20480,20366,22024,22210,22818
70,South Atlantic,Georgia,South,Male,13,70,-19039,19039,19039,1,19172,18862,19619,19846,19723,21525,21687
70,South Atlantic,Georgia,South,Male,13,71,-17708,17708,17708,1,17744,18581,18240,19046,19165,19233,20945
70,South Atlantic,Georgia,South,Male,13,72,-17113,17113,17113,1,17039,17109,17944,17646,18358,18684,18691
70,South Atlantic,Georgia,South,Male,13,73,-15788,15788,15788,1,15924,16288,16338,17200,16909,17798,18050
70,South Atlantic,Georgia,South,Male,13,74,-15213,15213,15214,1,15204,15262,15604,15686,16473,16349,17185
75,South Atlantic,Georgia,South,Male,13,75,-14134,14134,14135,1,14157,14530,14588,14979,14980,15902,15740
75,South Atlantic,Georgia,South,Male,13,76,-12938,12938,12938,1,13043,13423,13736,13850,14173,14323,15196
75,South Atlantic,Georgia,South,Male,13,77,-12048,12048,12048,1,12196,12271,12704,12991,13120,13576,13672
75,South Atlantic,Georgia,South,Male,13,78,-11330,11330,11330,1,11239,11431,11521,11969,12223,12483,12877
75,South Atlantic,Georgia,South,Male,13,79,-10318,10318,10318,1,10475,10473,10763,10865,11310,11626,11823
80,South Atlantic,Georgia,South,Male,13,80,-9452,9452,9452,1,9634,9702,9746,10012,10068,10629,10951
80,South Atlantic,Georgia,South,Male,13,81,-7937,7937,7937,1,7918,8865,8946,9058,9247,9438,9996
80,South Atlantic,Georgia,South,Male,13,82,-6826,6826,6826,1,6999,7154,8077,8112,8184,8498,8691
80,South Atlantic,Georgia,South,Male,13,83,-5999,5999,5999,1,6046,6360,6491,7397,7353,7544,7922
80,South Atlantic,Georgia,South,Male,13,84,-5174,5174,5174,1,5212,5411,5734,5846,6717,6736,6902
85,South Atlantic,Georgia,South,Male,13,85,-22388,22388,22389,1,22780,23990,25268,26796,28020,30477,32677
0,South Atlantic,Maryland,South,Male,24,0,-35526,35526,35526,1,36033,37342,37305,37624,38064,37651,37797
0,South Atlantic,Maryland,South,Male,24,1,-35677,35677,35678,1,35468,36160,37431,37492,37603,37985,37488
0,South Atlantic,Maryland,South,Male,24,2,-35496,35496,35496,1,35586,35650,36305,37651,37534,37567,37859
0,South Atlantic,Maryland,South,Male,24,3,-36194,36194,36194,1,36136,35751,35794,36524,37675,37511,37442
0,South Atlantic,Maryland,South,Male,24,4,-37421,37421,37421,1,37142,36348,35942,36059,36597,37685,37449
5,South Atlantic,Maryland,South,Male,24,5,-38183,38183,38183,1,38191,37346,36523,36188,36129,36601,37606
5,South Atlantic,Maryland,South,Male,24,6,-38546,38546,38546,1,38377,38407,37522,36760,36235,36123,36507
5,South Atlantic,Maryland,South,Male,24,7,-40130,40130,40130,1,39895,38596,38603,37778,36818,36239,36050
5,South Atlantic,Maryland,South,Male,24,8,-41191,41191,41191,1,41038,40076,38761,38850,37814,36786,36132
5,South Atlantic,Maryland,South,Male,24,9,-42088,42088,42088,1,41758,41237,40248,39014,38911,37792,36687
10,South Atlantic,Maryland,South,Male,24,10,-42666,42666,42666,1,43027,41958,41415,40490,39076,38905,37681
10,South Atlantic,Maryland,South,Male,24,11,-40700,40700,40700,1,41088,43216,42129,41665,40520,39053,38807
10,South Atlantic,Maryland,South,Male,24,12,-39909,39909,39909,1,39970,41302,43385,42379,41725,40501,38961
10,South Atlantic,Maryland,South,Male,24,13,-38987,38987,38987,1,39173,40136,41437,43587,42354,41619,40306
10,South Atlantic,Maryland,South,Male,24,14,-38559,38559,38560,1,38449,39350,40264,41644,43545,42226,41407
15,South Atlantic,Maryland,South,Male,24,15,-38024,38024,38024,1,38425,38625,39494,40470,41605,43399,41992
15,South Atlantic,Maryland,South,Male,24,16,-37357,37357,37358,1,37364,38542,38726,39662,40370,41418,43117
15,South Atlantic,Maryland,South,Male,24,17,-37004,37004,37004,1,37008,37631,38770,39021,39673,40285,41266
15,South Atlantic,Maryland,South,Male,24,18,-35059,35059,35059,1,35376,39633,39933,41076,41104,41962,42499
15,South Atlantic,Maryland,South,Male,24,19,-34310,34310,34310,1,34200,33642,36414,36472,37507,38068,38291
20,South Atlantic,Maryland,South,Male,24,20,-33677,33677,33677,1,34099,34661,33850,36617,36722,37994,37893
20,South Atlantic,Maryland,South,Male,24,21,-31408,31408,31408,1,31920,34644,34966,33898,37414,37357,38119
20,South Atlantic,Maryland,South,Male,24,22,-30957,30957,30957,1,31143,32455,35028,35214,34455,38398,37604
20,South Atlantic,Maryland,South,Male,24,23,-30134,30134,30134,1,30632,32055,33171,35765,36308,35335,39653
20,South Atlantic,Maryland,South,Male,24,24,-30310,30310,30310,1,30225,31347,32795,33783,36781,37209,36154
25,South Atlantic,Maryland,South,Male,24,25,-31033,31033,31033,1,31093,30953,32031,33411,34583,37565,37996
25,South Atlantic,Maryland,South,Male,24,26,-29737,29737,29737,1,29973,31839,31787,32676,34231,35282,38341
25,South Atlantic,Maryland,South,Male,24,27,-32623,32623,32623,1,32273,30625,32671,32483,33379,34873,35862
25,South Atlantic,Maryland,South,Male,24,28,-34916,34916,34916,1,34623,33109,31556,33561,33375,34122,35620
25,South Atlantic,Maryland,South,Male,24,29,-38165,38165,38165,1,37813,35879,34476,32797,34808,34482,35153
30,South Atlantic,Maryland,South,Male,24,30,-39745,39745,39745,1,39803,37702,36008,34411,32617,34553,34245
30,South Atlantic,Maryland,South,Male,24,31,-37436,37436,37436,1,37973,40317,38411,36588,34892,32928,34971
30,South Atlantic,Maryland,South,Male,24,32,-38497,38497,38498,1,38572,38735,41222,39186,37323,35443,33492
30,South Atlantic,Maryland,South,Male,24,33,-39258,39258,39258,1,39178,38743,39032,41417,39279,37338,35412
30,South Atlantic,Maryland,South,Male,24,34,-41381,41381,41381,1,40914,39382,39054,39300,41534,39305,37403
35,South Atlantic,Maryland,South,Male,24,35,-45336,45336,45336,1,44621,41427,39981,39598,39754,41866,39582
35,South Atlantic,Maryland,South,Male,24,36,-45222,45222,45223,1,45504,44471,41398,39917,39435,39491,41486
35,South Atlantic,Maryland,South,Male,24,37,-44376,44376,44376,1,44406,45732,44692,41675,40108,39463,39445
35,South Atlantic,Maryland,South,Male,24,38,-44765,44765,44765,1,44747,44681,46046,44983,41954,40189,39457
35,South Atlantic,Maryland,South,Male,24,39,-45490,45490,45491,1,45377,45026,44999,46374,45233,42040,40237
40,South Atlantic,Maryland,South,Male,24,40,-46463,46463,46463,1,46251,45204,44879,44861,46172,44789,41625
40,South Atlantic,Maryland,South,Male,24,41,-44224,44224,44224,1,44751,46318,45286,44968,44892,45995,44555
40,South Atlantic,Maryland,South,Male,24,42,-44246,44246,44247,1,43997,45011,46571,45559,45147,44878,45941
40,South Atlantic,Maryland,South,Male,24,43,-42506,42506,42506,1,43196,43996,45012,46564,45477,44902,44580
40,South Atlantic,Maryland,South,Male,24,44,-41126,41126,41126,1,41116,42929,43694,44739,46179,44982,44369
45,South Atlantic,Maryland,South,Male,24,45,-41588,41588,41588,1,41503,41272,43069,43864,44776,46020,44858
45,South Atlantic,Maryland,South,Male,24,46,-38406,38406,38406,1,39148,41642,41385,43211,43849,44620,45877
45,South Atlantic,Maryland,South,Male,24,47,-38205,38205,38205,1,38252,39241,41702,41523,43201,43697,44499
45,South Atlantic,Maryland,South,Male,24,48,-36889,36889,36889,1,37023,37939,38863,41462,41126,42684,43183
45,South Atlantic,Maryland,South,Male,24,49,-36007,36007,36008,1,36406,36872,37780,38851,41244,40801,42367
50,South Atlantic,Maryland,South,Male,24,50,-36146,36146,36146,1,36073,36389,36801,37794,38667,40987,40502
50,South Atlantic,Maryland,South,Male,24,51,-35270,35270,35270,1,35770,35964,36230,36723,37565,38362,40659
50,South Atlantic,Maryland,South,Male,24,52,-36462,36462,36462,1,35865,35454,35618,35996,36303,37092,37852
50,South Atlantic,Maryland,South,Male,24,53,-35744,35744,35744,1,37548,35604,35144,35402,35645,35893,36674
50,South Atlantic,Maryland,South,Male,24,54,-27376,27376,27376,1,27768,37406,35302,34954,35073,35276,35491
55,South Atlantic,Maryland,South,Male,24,55,-27665,27665,27665,1,27693,27446,36974,34908,34431,34478,34696
55,South Atlantic,Maryland,South,Male,24,56,-27178,27178,27178,1,27007,27271,26949,36531,34270,33714,33738
55,South Atlantic,Maryland,South,Male,24,57,-27832,27832,27832,1,28287,26542,26816,26560,35986,33516,32965
55,South Atlantic,Maryland,South,Male,24,58,-24169,24169,24169,1,24544,27859,26041,26445,26066,35391,32753
55,South Atlantic,Maryland,South,Male,24,59,-22007,22007,22007,1,22199,24217,27505,25700,25988,25557,34821
60,South Atlantic,Maryland,South,Male,24,60,-21399,21399,21399,1,21564,21769,23721,27072,25132,25357,24891
60,South Atlantic,Maryland,South,Male,24,61,-20188,20188,20188,1,20291,21048,21219,23189,26420,24335,24612
60,South Atlantic,Maryland,South,Male,24,62,-19519,19519,19519,1,19628,19880,20590,20819,22681,25759,23656
60,South Atlantic,Maryland,South,Male,24,63,-17785,17785,17785,1,17943,19273,19440,20207,20411,22154,25154
60,South Atlantic,Maryland,South,Male,24,64,-17508,17508,17508,1,17465,17398,18670,18882,19558,19722,21434
65,South Atlantic,Maryland,South,Male,24,65,-16808,16808,16808,1,16871,17240,17137,18431,18544,19158,19346
65,South Atlantic,Maryland,South,Male,24,66,-15231,15231,15231,1,15411,16551,16851,16762,18000,18032,18662
65,South Atlantic,Maryland,South,Male,24,67,-15549,15549,15549,1,15446,15067,16177,16542,16403,17582,17620
65,South Atlantic,Maryland,South,Male,24,68,-14958,14958,14958,1,15041,15181,14755,15883,16195,16002,17200
65,South Atlantic,Maryland,South,Male,24,69,-14903,14903,14904,1,14731,14660,14801,14354,15446,15662,15458
70,South Atlantic,Maryland,South,Male,24,70,-14479,14479,14479,1,14565,14316,14204,14367,13910,14957,15169
70,South Atlantic,Maryland,South,Male,24,71,-13775,13775,13775,1,13803,14192,13952,13850,13971,13475,14516
70,South Atlantic,Maryland,South,Male,24,72,-13361,13361,13361,1,13299,13330,13673,13526,13265,13418,12959
70,South Atlantic,Maryland,South,Male,24,73,-12784,12784,12784,1,12889,12821,12866,13192,13029,12730,12936
70,South Atlantic,Maryland,South,Male,24,74,-12143,12143,12143,1,12126,12324,12205,12338,12589,12418,12182
75,South Atlantic,Maryland,South,Male,24,75,-11817,11817,11817,1,11834,11605,11762,11664,11779,12021,11849
75,South Atlantic,Maryland,South,Male,24,76,-10759,10759,10759,1,10838,11267,10983,11222,11069,11170,11421
75,South Atlantic,Maryland,South,Male,24,77,-10139,10139,10139,1,10257,10217,10678,10370,10626,10438,10527
75,South Atlantic,Maryland,South,Male,24,78,-9824,9824,9824,1,9752,9664,9658,10120,9806,10015,9795
75,South Atlantic,Maryland,South,Male,24,79,-8900,8900,8900,1,9030,9189,9064,9050,9487,9165,9401
80,South Atlantic,Maryland,South,Male,24,80,-7922,7922,7922,1,8077,8339,8473,8431,8382,8755,8447
80,South Atlantic,Maryland,South,Male,24,81,-6844,6844,6844,1,6833,7514,7692,7873,7778,7719,8076
80,South Atlantic,Maryland,South,Male,24,82,-5954,5954,5954,1,6099,6276,6881,7032,7157,7054,6979
80,South Atlantic,Maryland,South,Male,24,83,-5078,5078,5078,1,5117,5590,5731,6356,6421,6511,6413
80,South Atlantic,Maryland,South,Male,24,84,-4455,4455,4455,1,4485,4587,4993,5125,5720,5742,5849
85,South Atlantic,Maryland,South,Male,24,85,-18710,18710,18710,1,19019,20175,21176,22479,23622,25335,26828
0,South Atlantic,North Carolina,South,Male,37,0,-56382,56382,56381,1,57228,60752,59871,60007,60346,61989,64362
0,South Atlantic,North Carolina,South,Male,37,1,-56150,56150,56147,1,55917,57518,61030,60131,60232,60865,62833
0,South Atlantic,North Carolina,South,Male,37,2,-54753,54753,54754,1,55016,56350,57923,61432,60458,60831,61754
0,South Atlantic,North Carolina,South,Male,37,3,-54035,54035,54035,1,54011,55466,56770,58329,61786,61052,61721
0,South Atlantic,North Carolina,South,Male,37,4,-55007,55007,55006,1,54703,54548,55975,57253,58732,62453,61977
5,South Atlantic,North Carolina,South,Male,37,5,-55745,55745,55742,1,55860,55328,55157,56555,57741,59456,63462
5,South Atlantic,North Carolina,South,Male,37,6,-56252,56252,56250,1,56098,56513,55952,55770,57083,58514,60486
5,South Atlantic,North Carolina,South,Male,37,7,-57643,57643,57639,1,57374,56706,57096,56507,56274,57830,59514
5,South Atlantic,North Carolina,South,Male,37,8,-58723,58723,58721,1,58582,57967,57301,57667,57016,57036,58840
5,South Atlantic,North Carolina,South,Male,37,9,-60130,60130,60128,1,59726,59162,58528,57868,58172,57775,58064
10,South Atlantic,North Carolina,South,Male,37,10,-59565,59565,59559,1,60136,60354,59734,59104,58390,58945,58813
10,South Atlantic,North Carolina,South,Male,37,11,-56862,56862,56867,1,57473,60770,60989,60335,59666,59221,60045
10,South Atlantic,North Carolina,South,Male,37,12,-55942,55942,55945,1,56109,58091,61378,61606,60872,60478,60337
10,South Atlantic,North Carolina,South,Male,37,13,-54525,54525,54528,1,54888,56702,58652,61946,62124,61640,61541
10,South Atlantic,North Carolina,South,Male,37,14,-54290,54290,54292,1,54229,55454,57213,59163,62400,62862,62649
15,South Atlantic,North Carolina,South,Male,37,15,-54009,54009,54015,1,54689,54674,55864,57616,59509,63000,63796
15,South Atlantic,North Carolina,South,Male,37,16,-52395,52395,52394,1,52529,55211,55161,56344,58026,60176,63970
15,South Atlantic,North Carolina,South,Male,37,17,-53717,53717,53710,1,53793,53382,56118,56085,57274,59209,61658
15,South Atlantic,North Carolina,South,Male,37,18,-56065,56065,55964,1,56500,56499,56201,58766,58718,59831,61691
15,South Atlantic,North Carolina,South,Male,37,19,-61638,61638,61366,1,61113,59502,59884,59860,62081,61889,62738
20,South Atlantic,North Carolina,South,Male,37,20,-64965,64965,64732,1,65439,63753,62547,62850,63529,64931,65287
20,South Atlantic,North Carolina,South,Male,37,21,-62432,62432,62274,1,63178,65800,63902,62027,63537,63504,65746
20,South Atlantic,North Carolina,South,Male,37,22,-61541,61541,61470,1,61792,62046,64182,61282,60810,61590,62699
20,South Atlantic,North Carolina,South,Male,37,23,-57678,57678,57660,1,58698,60425,59624,60995,59116,57971,60023
20,South Atlantic,North Carolina,South,Male,37,24,-56802,56802,56794,1,56765,58787,60084,58274,60919,58345,58296
25,South Atlantic,North Carolina,South,Male,37,25,-59406,59406,59405,1,59611,57459,59086,60028,58879,61307,59623
25,South Atlantic,North Carolina,South,Male,37,26,-57665,57665,57662,1,58283,59777,57338,58578,60256,58678,62103
25,South Atlantic,North Carolina,South,Male,37,27,-60665,60665,60655,1,60083,58571,59743,56870,58724,60360,59407
25,South Atlantic,North Carolina,South,Male,37,28,-63183,63183,63176,1,62653,60874,59104,59945,57634,59497,61708
25,South Atlantic,North Carolina,South,Male,37,29,-66444,66444,66440,1,65872,62994,60901,58752,59971,57831,60165
